,1078E,1086,1093,1095E,1097,1104,1104O,9048
var_1,2.307146778740659,2.40999337373646,2.3379331813409534,2.264651561605855,2.4169784417899436,2.252969225659315,2.2888504167571444,2.4524743722764915
var_2,1.760971889633816,1.791418616313583,1.8263054530301168,1.695136196719453,1.8950676844825582,1.7305037598366495,1.7358194909188165,1.8955192804177343
var_3,1.4609274057829165,1.5631661568707258,1.5412524820141764,1.4795064827866657,1.6181635578576274,1.5237007432234788,1.531926942172063,1.618066542217139
var_4,1.358459787860263,1.3771730144676348,1.4160134305129874,1.3461007863983239,1.4572192689971881,1.3937413839580568,1.3561269712876112,1.4628964362178343
autocorr_1_1,0.1118069990853884,0.10140723338566623,0.1756258189714965,0.1431988116466994,0.1570849933444057,0.199517569817744,0.1527157042777047,0.1726665831834642
autocorr_2_1,0.09232513271231553,0.07448659657938075,0.10029538572854224,0.10831803980266924,0.07065855915440925,0.11638361744337447,0.11676444937277554,0.049307723469633975
autocorr_3_1,0.04518973983644292,0.018156430359917944,0.024833137220203957,0.03229049745545783,0.010621392114288234,0.064704836188178,0.0338382006123194,0.016991595868011144
fih_1,0.5771235817233977,0.5978779840848807,0.6174175685879688,0.5968352253181974,0.6251980982567353,0.523084025854109,0.5473818646232439,0.6845270639693821
fiWW_1,0.6200145032632343,0.596306068601583,0.5960526315789473,0.5699658703071673,0.5803382663847781,0.643756050338819,0.6320541760722349,0.5095320623916813
fiDD_1,0.7215727948990436,0.7284826974267967,0.7496942519364044,0.7095100864553314,0.7484157160963245,0.675198587819947,0.6957536164255718,0.7739616613418531
M3_1,3.7866829696358417,4.582165102805727,4.8188978600467545,3.996363139367549,4.57856687198995,4.931119817065237,4.844603723790834,4.3863295734540975
