,Rain
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,1.1720667501217399
2020-01-18,14.573393919182458
2020-01-19,1.7841145388531647
2020-01-20,1.5987211554602254e-14
2020-01-21,1.5987211554602254e-14
2020-01-22,1.5987211554602254e-14
2020-01-23,1.5987211554602254e-14
2020-01-24,1.5987211554602254e-14
2020-01-25,1.5987211554602254e-14
2020-01-26,1.5987211554602254e-14
2020-01-27,1.5987211554602254e-14
2020-01-28,1.5987211554602254e-14
2020-01-29,1.5987211554602254e-14
2020-01-30,1.5987211554602254e-14
2020-01-31,1.5987211554602254e-14
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,6.029199142849931
2020-02-04,2.3477536830915633
2020-02-05,12.328628419252505
2020-02-06,1.9501828003376769
2020-02-07,0.20722707969056753
2020-02-08,2.1316282072803006e-14
2020-02-09,2.1316282072803006e-14
2020-02-10,2.1316282072803006e-14
2020-02-11,2.1316282072803006e-14
2020-02-12,2.1316282072803006e-14
2020-02-13,2.1316282072803006e-14
2020-02-14,2.1316282072803006e-14
2020-02-15,2.1316282072803006e-14
2020-02-16,2.1316282072803006e-14
2020-02-17,2.1316282072803006e-14
2020-02-18,2.1316282072803006e-14
2020-02-19,2.1316282072803006e-14
2020-02-20,2.1316282072803006e-14
2020-02-21,2.1316282072803006e-14
2020-02-22,2.1316282072803006e-14
2020-02-23,2.1316282072803006e-14
2020-02-24,2.1316282072803006e-14
2020-02-25,2.1316282072803006e-14
2020-02-26,2.1316282072803006e-14
2020-02-27,2.1316282072803006e-14
2020-02-28,2.1316282072803006e-14
2020-02-29,2.1316282072803006e-14
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,5.983554764101093
2020-03-12,5.1754186111252904
2020-03-13,5.035689124280799
2020-03-14,6.039932018370487
2020-03-15,0.5900705272224914
2020-03-16,0.0
2020-03-17,7.803839126660095
2020-03-18,2.1316282072803006e-14
2020-03-19,2.1316282072803006e-14
2020-03-20,2.1316282072803006e-14
2020-03-21,2.1316282072803006e-14
2020-03-22,2.1316282072803006e-14
2020-03-23,2.1316282072803006e-14
2020-03-24,2.1316282072803006e-14
2020-03-25,2.1316282072803006e-14
2020-03-26,2.1316282072803006e-14
2020-03-27,2.1316282072803006e-14
2020-03-28,2.1316282072803006e-14
2020-03-29,6.650113023849596
2020-03-30,0.04087587220753473
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,8.161788567438812
2020-04-03,2.1316282072803006e-14
2020-04-04,2.1316282072803006e-14
2020-04-05,6.118362953378964
2020-04-06,10.135925060869774
2020-04-07,8.634117916698825
2020-04-08,13.208354800416057
2020-04-09,0.06956613556275225
2020-04-10,9.577266284425251
2020-04-11,3.347189684077701
2020-04-12,0.0
2020-04-13,15.212335606717833
2020-04-14,0.367912649049378
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
