,1078E,1086,1093,1095E,1097,1104,1104O,9048
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-10,0.25486114107185726,1.368995836486982,4.293162136458138,3.284885876131599,1.0403971386587534,3.4027983174680543,11.1772835309392,2.8116918181654498
2005-01-11,19.88380491696178,1.9996854977958278,5.295814553650065,6.968516111348754,6.0740284375502265,41.80066289450647,45.102549142843216,16.986769259639622
2005-01-12,0.0,14.876251818036216,0.0,2.513492548300746,2.3657441063049958,0.9020302246225007,0.053677861640765774,1.2922888892052125
2005-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-14,1.178478766613011,13.165400398557638,1.5102325832767365,8.152140204185322,9.118130387862887,9.66013916149911,19.918103125922165,6.9938325388657665
2005-01-15,9.776383201003247,3.451095071395983,0.1089864080417895,2.8795215007407458,4.571374128394583,10.761280615901304,14.108516976598525,0.3085603437417351
2005-01-16,2.3363973939679012,0.1328531246225957,4.757804609380494,1.2761191903334932,0.2809097416811339,0.0,0.0,1.7910278840738656
2005-01-17,0.0,1.0995326697987629,0.0,5.5614251075900905,0.6520769541152198,0.0,0.0,0.0
2005-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07,0.1451382596117453,1.1329768318387254,0.8214131435795569,1.7361889337795775,0.0,0.0,0.0,0.0
2005-02-08,5.71816119522021,17.88897855495806,10.743462030379968,11.282702014109892,11.259188708515666,29.84584153585993,12.169403909827672,7.609006323041531
2005-02-09,5.32168825717695,1.3414252404140279,1.7103179158458182,1.4091933070989802,0.6952613882449994,0.0,0.0,0.0
2005-02-10,0.9251725866496799,19.49399935766526,13.86870520754319,13.970572012801917,4.864438933160093,19.158351538635376,15.759121067513243,1.2818359046375465
2005-02-11,0.0,0.33764360194189463,0.0,0.008005931351677487,1.9469297838314286,5.574476419704936,1.9787656102202524,0.0
2005-02-12,0.0,0.9567107118963065,1.4821256331444699,3.803484931200636,0.1764185525172761,0.0,0.17518555130459948,0.0
2005-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-18,3.216693033235672,5.143082464147077,5.285765862371141,8.931182991684912,5.64872752936776,0.24183058397249813,3.8080433492511627,10.029670109151533
2005-02-19,4.423071666777798,0.0,0.0,0.0,1.4871428359908803,7.3981748036349595,7.037774810570885,0.0
