,1078E,1086,1093,1095E,1097,1104,1104O,9048
1/1/1950,,,,,,,,0
2/1/1950,,,,,,,,0
3/1/1950,,,,,,,,0
4/1/1950,,,,,,,,0
5/1/1950,,,,,,,,0
6/1/1950,,,,,,,,0
7/1/1950,,,,,,,,0
8/1/1950,,,,,,,,0
9/1/1950,,,,,,,,1.5
10/1/1950,,,,,,,,0
11/1/1950,,,,,,,,0
12/1/1950,,,,,,,,0
1/13/1950,,,,,,,,0
1/14/1950,,,,,,,,0
1/15/1950,,,,,,,,0
1/16/1950,,,,,,,,0
1/17/1950,,,,,,,,
1/18/1950,,,,,,,,57.3
1/19/1950,,,,,,,,0
1/20/1950,,,,,,,,1.3
1/21/1950,,,,,,,,0
1/22/1950,,,,,,,,0
1/23/1950,,,,,,,,0
1/24/1950,,,,,,,,1.5
1/25/1950,,,,,,,,0
1/26/1950,,,,,,,,0
1/27/1950,,,,,,,,0
1/28/1950,,,,,,,,1.6
1/29/1950,,,,,,,,0
1/30/1950,,,,,,,,0
1/31/1950,,,,,,,,5.3
1/2/1950,,,,,,,,0
2/2/1950,,,,,,,,0
3/2/1950,,,,,,,,0
4/2/1950,,,,,,,,0
5/2/1950,,,,,,,,2
6/2/1950,,,,,,,,0
7/2/1950,,,,,,,,2.8
8/2/1950,,,,,,,,0
9/2/1950,,,,,,,,0
10/2/1950,,,,,,,,0
11/2/1950,,,,,,,,0
12/2/1950,,,,,,,,0
2/13/1950,,,,,,,,17.1
2/14/1950,,,,,,,,0
2/15/1950,,,,,,,,0
2/16/1950,,,,,,,,0
2/17/1950,,,,,,,,0
2/18/1950,,,,,,,,0
2/19/1950,,,,,,,,0
2/20/1950,,,,,,,,0
2/21/1950,,,,,,,,0
2/22/1950,,,,,,,,0
2/23/1950,,,,,,,,0
2/24/1950,,,,,,,,0.3
2/25/1950,,,,,,,,8.8
2/26/1950,,,,,,,,20.5
2/27/1950,,,,,,,,22.7
2/28/1950,,,,,,,,0
1/3/1950,,,,,,,,0
2/3/1950,,,,,,,,0
3/3/1950,,,,,,,,0
4/3/1950,,,,,,,,0
5/3/1950,,,,,,,,0
6/3/1950,,,,,,,,0
7/3/1950,,,,,,,,0
8/3/1950,,,,,,,,0
9/3/1950,,,,,,,,0
10/3/1950,,,,,,,,0
11/3/1950,,,,,,,,0
12/3/1950,,,,,,,,0
3/13/1950,,,,,,,,0
3/14/1950,,,,,,,,0
3/15/1950,,,,,,,,2.7
3/16/1950,,,,,,,,0
3/17/1950,,,,,,,,7.4
3/18/1950,,,,,,,,8.5
3/19/1950,,,,,,,,0
3/20/1950,,,,,,,,0
3/21/1950,,,,,,,,0
3/22/1950,,,,,,,,0
