,1078E,1086,1093,1095E,1097,1104,1104O,9048
var_1,2.148736629777278,2.1549278994162915,2.2873750995477353,2.0780778639060955,2.097017148321677,1.9201197895589943,2.019589377525328,2.560688536952774
var_2,1.7041989463193985,1.647990038102507,1.7655690493741438,1.6146989340565387,1.6345099057846428,1.5597904899564448,1.5520837701752797,1.9891514267073878
var_3,1.519819301079197,1.4245893520760171,1.5827350303598522,1.4248882729464676,1.3899301403297086,1.3397622374284084,1.389768199897528,1.6746730379211852
var_4,1.363463543989693,1.2463841533944795,1.3820049420726321,1.2987726493317462,1.2710972503229157,1.2418638283530437,1.2447883953361634,1.5177954650486847
autocorr_1_1,0.27566531585145365,0.15718685801168536,0.215833636733195,0.22135769906760158,0.17390053864313887,0.2613521161803621,0.2101061830326526,0.18241115276261785
autocorr_2_1,0.12387541798737592,0.055889569086270366,0.08427174071232708,0.1324587517501455,0.058255639867680134,0.11773575534869098,0.10803570208881752,0.06365976605310532
autocorr_3_1,0.048550505799431536,0.04144506167401032,0.05703956791598919,0.04620529451872757,0.0299828941356677,0.08330557482858766,0.10415823226083087,0.061096617856320264
fih_1,0.5342812006319115,0.5724815724815725,0.5984810126582278,0.5509147393855712,0.5751173708920188,0.48118532455315144,0.5223341079266718,0.6683305601774819
fiWW_1,0.6648575305291724,0.6321839080459769,0.616015132408575,0.6372021521906227,0.632596685082873,0.6858567543064371,0.6470270270270272,0.5543478260869567
fiDD_1,0.7078651685393259,0.7253218884120172,0.7423857868020305,0.7042606516290727,0.7285714285714286,0.6612903225806452,0.6772120612951064,0.7788381742738589
M3_1,3.570460507222172,3.673193532244776,4.432039992973293,3.521936724781911,3.4851379297786593,3.072201805348182,3.1815484832572314,5.198787799220994
